timestamp,latitude,longitude
137632,43.472366,-80.048523
137633,43.472385,-80.048126
137634,43.472401,-80.047737
137635,43.472416,-80.047356
137636,43.472431,-80.046951
137637,43.472443,-80.046562
137638,43.472462,-80.046165
137639,43.472481,-80.045792
137640,43.472488,-80.04541
137641,43.472507,-80.045029
137642,43.472527,-80.04464
137643,43.472561,-80.044258
137644,43.472584,-80.043861
137645,43.47261,-80.043472
137646,43.472637,-80.04306
137647,43.472652,-80.042648
137648,43.472675,-80.042229
137649,43.472687,-80.041809
137650,43.472713,-80.041389
137651,43.472729,-80.04097
137652,43.472752,-80.04055
137653,43.472778,-80.040123
137654,43.472809,-80.039696
137655,43.472847,-80.039284
137656,43.472893,-80.038872
137657,43.472946,-80.038475
137658,43.473003,-80.038071
137659,43.473068,-80.037682
137660,43.473129,-80.037292
137661,43.473202,-80.036919
137662,43.473267,-80.03656
137663,43.473343,-80.036201
137664,43.473423,-80.035835
137665,43.473511,-80.035477
137666,43.473598,-80.035118
137667,43.473694,-80.034767
137668,43.473789,-80.034416
137669,43.473881,-80.034081
137670,43.473972,-80.033737
137671,43.474064,-80.033401
137672,43.474159,-80.033058
137673,43.474251,-80.032722
137674,43.474342,-80.032372
137675,43.474442,-80.032028
137676,43.474529,-80.031685
137677,43.474625,-80.031342
137678,43.47472,-80.030991
137679,43.474815,-80.03064
137680,43.474915,-80.030289
137681,43.475006,-80.029938
137682,43.475113,-80.029572
137683,43.475208,-80.029205
137684,43.475311,-80.028839
137685,43.47541,-80.028473
137686,43.475517,-80.028091
137687,43.475616,-80.027718
137688,43.475719,-80.027351
137689,43.475822,-80.02697
137690,43.475925,-80.026604
137691,43.476032,-80.026222
137692,43.476128,-80.025848
137693,43.476234,-80.025467
137694,43.476334,-80.025085
137695,43.47644,-80.024719
137696,43.47654,-80.024338
137697,43.476639,-80.023972
137698,43.476749,-80.02359
137699,43.476849,-80.023209
137700,43.476955,-80.022842
137701,43.477055,-80.022453
137702,43.477161,-80.022079
137703,43.477264,-80.021698
137704,43.477367,-80.021332
137705,43.47747,-80.02095
137706,43.47757,-80.020576
137707,43.477676,-80.020203
137708,43.477776,-80.019829
137709,43.477879,-80.019455
137710,43.477985,-80.019081
137711,43.478085,-80.018715
137712,43.478188,-80.018326
137713,43.478287,-80.017952
137714,43.478397,-80.01757
137715,43.478497,-80.017189
